ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Buriat-sortalclassifier,Buriat,sortalclassifier,no,sortalclassifier-0,,Poppe-1960
Buriat-morphosyntacticplural,Buriat,morphosyntacticplural,no,morphosyntacticplural-0,,Poppe-1960
Burmese-sortalclassifier,Burmese,sortalclassifier,yes,sortalclassifier-1,,Okell-1969
Burmese-morphosyntacticplural,Burmese,morphosyntacticplural,yes,morphosyntacticplural-1,,Okell-1969
Burushaski-sortalclassifier,Burushaski,sortalclassifier,no,sortalclassifier-0,,Lorimer-1935
Burushaski-morphosyntacticplural,Burushaski,morphosyntacticplural,no,morphosyntacticplural-0,,Lorimer-1935
CanelaKrah-sortalclassifier,CanelaKrah,sortalclassifier,no,sortalclassifier-0,,Popjes-and-Popjes-1986
CanelaKrah-morphosyntacticplural,CanelaKrah,morphosyntacticplural,no,morphosyntacticplural-0,,Popjes-and-Popjes-1986
Cantonese-sortalclassifier,Cantonese,sortalclassifier,yes,sortalclassifier-1,,Zee-1999
Cantonese-morphosyntacticplural,Cantonese,morphosyntacticplural,yes,morphosyntacticplural-1,,Zee-1999
Capanahua-sortalclassifier,Capanahua,sortalclassifier,no,sortalclassifier-0,,Loos-1969
Capanahua-morphosyntacticplural,Capanahua,morphosyntacticplural,no,morphosyntacticplural-0,,Loos-1969
Carrier-sortalclassifier,Carrier,sortalclassifier,no,sortalclassifier-0,,Morice-1932
Carrier-morphosyntacticplural,Carrier,morphosyntacticplural,no,morphosyntacticplural-0,,Morice-1932
Cayuvava-sortalclassifier,Cayuvava,sortalclassifier,no,sortalclassifier-0,,Key-1967
Cayuvava-morphosyntacticplural,Cayuvava,morphosyntacticplural,no,morphosyntacticplural-0,,Key-1967
ChamEastern-sortalclassifier,ChamEastern,sortalclassifier,yes,sortalclassifier-1,,Alieva-and-Bui-Khanh-The-1999
ChamEastern-morphosyntacticplural,ChamEastern,morphosyntacticplural,yes,morphosyntacticplural-1,,Alieva-and-Bui-Khanh-The-1999
ChamWestern-sortalclassifier,ChamWestern,sortalclassifier,yes,sortalclassifier-1,,Baumgartner-1998
ChamWestern-morphosyntacticplural,ChamWestern,morphosyntacticplural,yes,morphosyntacticplural-1,,Baumgartner-1998
Chamorro-sortalclassifier,Chamorro,sortalclassifier,no,sortalclassifier-0,,Topping-1973
Chamorro-morphosyntacticplural,Chamorro,morphosyntacticplural,no,morphosyntacticplural-0,,Topping-1973
Chantyal-sortalclassifier,Chantyal,sortalclassifier,yes,sortalclassifier-1,,Noonan-2003b
Chantyal-morphosyntacticplural,Chantyal,morphosyntacticplural,yes,morphosyntacticplural-1,,Noonan-2003b
Chayahuita-sortalclassifier,Chayahuita,sortalclassifier,yes,sortalclassifier-1,,bourdeau_ergativity_2015
Chayahuita-morphosyntacticplural,Chayahuita,morphosyntacticplural,yes,morphosyntacticplural-1,,bourdeau_ergativity_2015
Chechen-sortalclassifier,Chechen,sortalclassifier,no,sortalclassifier-0,,Nichols-1994a
Chechen-morphosyntacticplural,Chechen,morphosyntacticplural,no,morphosyntacticplural-0,,Nichols-1994a
Chepang-sortalclassifier,Chepang,sortalclassifier,no,sortalclassifier-0,,Caughley-1982
Chepang-morphosyntacticplural,Chepang,morphosyntacticplural,no,morphosyntacticplural-0,,Caughley-1982
ChichimecaJonaz-sortalclassifier,ChichimecaJonaz,sortalclassifier,no,sortalclassifier-0,,Lastra-de-Suarez-1984
ChichimecaJonaz-morphosyntacticplural,ChichimecaJonaz,morphosyntacticplural,no,morphosyntacticplural-0,,Lastra-de-Suarez-1984
Chimariko-sortalclassifier,Chimariko,sortalclassifier,no,sortalclassifier-0,,Dixon-1910
Chimariko-morphosyntacticplural,Chimariko,morphosyntacticplural,no,morphosyntacticplural-0,,Dixon-1910
ChinookUpper-sortalclassifier,ChinookUpper,sortalclassifier,no,sortalclassifier-0,,Boas-1911b
ChinookUpper-morphosyntacticplural,ChinookUpper,morphosyntacticplural,no,morphosyntacticplural-0,,Boas-1911b
Chitimacha-sortalclassifier,Chitimacha,sortalclassifier,no,sortalclassifier-0,,Swadesh-1946b
