language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode
Remo;yes;no;Asia;Munda;82;18;bfw;rem;bond1245
Santali;yes;no;Asia;Munda;87;24.5;sat;stl;sant1410
Semelai;yes;no;Asia;Aslian;103;3;sza;sml;seme1247
Temiar;no;no;Asia;Aslian;101.5;5;tea;tmr;temi1246
Vietnamese;yes;no;Asia;Viet_Muong;106.5;10.5;vie;vie;viet1252
Alune;no;no;Asia;Central_Malayo_Polynesian;128.3333333;-3;alp;aln;alun1238
Ambae (Lolovoli Northeast);no;no;Pacific;Oceanic;167.8833333;-15.41666667;omb;aml;east2443
Amis;yes;no;Asia;East_Formosan;121.3333333;23.33333333;ami;ami;amis1246
Arosi;no;no;Pacific;Oceanic;161.3333333;-10.25;aia;aro;aros1241
Atayal;no;no;Asia;Atayalic;121.3333333;24.5;tay;ata;atay1247
Bajau (Semporna);yes;no;Asia;Sama_Bajaw;118.5;4.5;ssb;bjs;sout2918
Balinese;yes;no;Asia;Malayo_Sumbawan;115.25;-8.333333333;ban;bal;bali1278
Batak (Karo);yes;no;Asia;Northwest_Sumatra_Barrier_Islands;98.25;3.25;btx;bkr;bata1293
Begak-Ida'an;yes;no;Asia;North_Borneo;118.8333333;5.25;dbj;beg;idaa1241
Biatah;yes;no;Asia;Land_Dayak;110;1.25;bth;bit;biat1246
Cham (Eastern);yes;no;Asia;Malayo_Sumbawan;108.5;11.33333333;cjm;cme;east2563
Cham (Western);yes;no;Asia;Malayo_Sumbawan;105.5;12;cja;chw;west2650
Chamorro;no;yes;Pacific;Chamorro;144.75;13.45;cha;cha;cham1312
Chuukese;yes;no;Pacific;Oceanic;151.75;7.333333333;chk;cuu;chuu1238
Dobel;yes;no;Asia;Central_Malayo_Polynesian;134.6666667;-6.25;kvo;dob;dobe1238
Drehu;no;no;Pacific;Oceanic;167.25;-21;dhv;dre;dehu1237
Erromangan;no;no;Pacific;Oceanic;169.1666667;-18.83333333;erg;err;siee1239
Fijian;no;no;Pacific;Oceanic;178;-17.83333333;fij;fij;fiji1243
Futuna-Aniwa;no;yes;Pacific;Oceanic;170.2166667;-19.53333333;fut;fut;futu1245
Hawaiian;no;no;Americas;Oceanic;-155.5;19.58333333;haw;haw;hawa1245
Iaai;no;no;Pacific;Oceanic;166.5833333;-20.41666667;iai;iaa;iaai1238
Indonesian;yes;no;Asia;Malayo_Sumbawan;106;0;ind;ind;indo1316
Javanese;yes;no;Asia;Javanese;111;-7;jav;jav;java1254
Kambera;yes;no;Asia;Central_Malayo_Polynesian;120.1666667;-9.833333333;xbr;kam;kamb1299
Kayan (Baram);yes;no;Asia;North_Borneo;114.5;3.5;kys;kbr;bara1370
Kayu Agung;yes;no;Asia;Lampungic;104.9166667;-3.166666667;kge;kag;kome1238
Ke'o;yes;no;Asia;Central_Malayo_Polynesian;121.25;-8.833333333;xxk;keo;keoo1238
Kei;yes;no;Asia;Central_Malayo_Polynesian;132.9166667;-5.833333333;kei;kei;keii1239
Kelabit;no;no;Asia;North_Borneo;115.4166667;3.666666667;kzi;klt;kela1258
Kenyah (Uma' Lung);yes;no;Africa;North_Borneo;115.8333333;3;;keu;
Ketapang;yes;no;Asia;Malayo_Sumbawan;110;-1.866666667;zlm;ktp;mala1479
Kilivila;yes;no;Pacific;Oceanic;151.0833333;-8.5;kij;klv;kili1267
Kiribati;yes;no;Pacific;Oceanic;173;1.333333333;gil;krb;gilb1244
Kosraean;yes;no;Pacific;Oceanic;163;5.3;kos;kos;kosr1238
Larike;yes;no;Asia;Central_Malayo_Polynesian;127.9166667;-3.75;alo;lrk;lari1255
Leti;no;no;Asia;Central_Malayo_Polynesian;127.6666667;-8.2;lti;let;leti1246
Loniu;yes;no;Pacific;Oceanic;147.3333333;-2.066666667;los;lon;loni1238
Lun Dayeh;yes;no;Asia;North_Borneo;115.9166667;4;lnd;lud;lund1271
Makassar;yes;no;Asia;South_Sulawesi;119.5833333;-5.416666667;mak;mks;maka1311
Malagasy;no;no;Africa;Barito;47;-20;plt;mal;plat1254
Mandar;yes;no;Asia;South_Sulawesi;119.0833333;-3.416666667;mdr;mnr;mand1442
Melanau;yes;no;Asia;North_Borneo;111.5;2.5;mel;mel;cent2101
Minangkabau;yes;no;Asia;Malayo_Sumbawan;101;-1;min;min;mina1268
Mokilese;yes;no;Pacific;Oceanic;159.75;6.666666667;mkj;mok;moki1238
Napu;yes;no;Asia;Celebic;120.4166667;-1.333333333;npy;npu;napu1241
Narom;yes;no;Asia;North_Borneo;114;4.416666667;nrm;nrm;naro1251
Nauruan;yes;no;Pacific;Oceanic;166.9166667;-0.5;nau;nau;naur1243
Nelemwa;yes;no;Pacific;Oceanic;164.0833333;-20.25;nee;nel;kuma1276
Ngad'a;yes;no;Asia;Central_Malayo_Polynesian;121;-8.833333333;nxg;ngd;ngad1261
Nyelayu;yes;no;Pacific;Oceanic;164.3333333;-20.33333333;yly;nyl;nyal1254
Padoe;yes;no;Asia;Celebic;121.3333333;-2.333333333;pdo;pad;pado1242
Pileni;yes;no;Pacific;Oceanic;166.2166667;-10.21666667;piv;pil;pile1238
Pohnpeian;yes;no;Pacific;Oceanic;158.25;6.883333333;pon;poh;pohn1238
Rapanui;no;no;Americas;Oceanic;-109.3666667;-27.11666667;rap;rap;rapa1244
Rukai (Tanan);no;no;Asia;Rukai;120.8333333;22.83333333;dru;ruk;ruka1240
Samoan;yes;no;Pacific;Oceanic;-171.8333333;-13.91666667;smo;sam;samo1305
Sawu;yes;no;Asia;Central_Malayo_Polynesian;121.9166667;-11.5;hvn;saw;sabu1255
Seediq;no;no;Asia;Atayalic;121.4166667;24.16666667;trv;see;taro1264
Semandang;yes;no;Pacific;Land_Dayak;110.4166667;-0.416666667;;kua;
Semandang;yes;no;Asia;Land_Dayak;110.5;-0.75;sdm;smd;sema1269
Simeulue;yes;no;Asia;Northwest_Sumatra_Barrier_Islands;96.25;2.5;smr;sim;sime1241
Taba;yes;no;Asia;South_Halmahera_West_New_Guinea;127.5;0;mky;tab;east2440
Tagalog;no;yes;Asia;Greater_Central_Philippine;121;15;tgl;tag;taga1270
Tawala;no;no;Pacific;Oceanic;150.6666667;-10.33333333;tbo;taw;tawa1275
Tetun;yes;no;Asia;Central_Malayo_Polynesian;126;-9;tet;ttn;tetu1245
Timugon;no;yes;Asia;North_Borneo;116;5;tih;tim;timu1262
Tolai;no;no;Pacific;Oceanic;152.0833333;-4.25;ksd;tla;kuan1248
Tongan;yes;no;Pacific;Oceanic;-175.1666667;-21.16666667;ton;tng;tong1325
Toqabaqita;yes;no;Pacific;Oceanic;160.5833333;-8.416666667;mlu;toq;toab1237
Tsou;yes;no;Asia;Tsou;120.75;23.5;tsu;tso;tsou1248
Tukang Besi;yes;no;Asia;Celebic;123.5;-5.5;bhq;tuk;tuka1247
Tuvaluan;no;no;Pacific;Oceanic;179.1666667;-8.5;tvl;tvl;tuva1244
Ulithian;yes;no;Pacific;Oceanic;139.5833333;9.916666667;uli;uli;ulit1238
Ura;no;no;Pacific;Oceanic;169.0833333;-18.66666667;uur;ura;urav1235
Yami;no;no;Asia;Batanic;121.5;22;tao;ymi;yami1254
Yapese;yes;no;Pacific;Yapese;138.1666667;9.583333333;yap;yap;yape1248
Jaqaru;no;no;Americas;Aymaran;-76;-13;jqr;jaq;jaqa1244
Mali;no;no;Pacific;Baining;152.25;-4.833333333;gcc;mli;mali1284
Taulil;no;no;Pacific;Taulil;152.0833333;-4.416666667;tuh;tll;taul1251
Basque;no;yes;Europe;Basque;-3;43;eus;bsq;basq1248
Imonda;no;yes;Pacific;Border;141.1666667;-3.333333333;imn;imo;imon1245
Burushaski;no;yes;Asia;Burushaski;74.5;36.5;bsk;bur;buru1296
Pawnee;no;yes;Americas;Caddoan;-98.66666667;41;paw;pwn;pawn1254
Chayahuita;yes;no;Americas;Cahuapanan;-77;-5.5;cbt;chy;chay1248
Hixkaryana;no;no;Americas;Cariban;-59;-1;hix;hix;hixk1239
Panare;no;no;Americas;Cariban;-66;6.5;pbh;pnr;enap1235
Cayuvava;no;yes;Americas;Cayuvava;-65.5;-13.5;cyb;cyv;cayu1262
Wari';no;no;Americas;Chapacura_Wanham;-65;-11.33333333;pav;war;wari1268
Ika;no;no;Americas;Aruak;-73.75;10.66666667;arh;ika;arhu1242
Muisca;no;no;Americas;Chibchan_Proper;-74;5;chb;msc;chib1270
Teribe;yes;no;Americas;Talamanca;-82.66666667;9.333333333;tfr;trb;teri1250
Quileute;no;no;Americas;Chimakuan;-124.25;47.91666667;qui;qui;quil1240
Chitimacha;no;no;Americas;Chitimacha;-91;29.66666667;ctm;ctm;chit1248
Epena Pedee;no;yes;Americas;Choco;-77;3;sja;epe;epen1239
Chukchi;no;no;Asia;Northern_Chukotko_Kamchatkan;-173;67;ckt;chk;chuk1273
Chumash (Barbare_o);no;no;Americas;Chumash;-120.25;34.5;boi;cba;barb1263
Chumash (Ineseno);no;no;Americas;Chumash;-120.25;34.66666667;inz;cin;ines1240
Brahui;no;no;Asia;Northern_Dravidian;67;28.5;brh;brh;brah1256
Kannada;no;no;Asia;Southern_Dravidian;76;14;kan;knd;nucl1305
Kota;no;no;Asia;Southern_Dravidian;77.16666667;11.5;kfe;kot;kota1263
Malayalam;no;no;Asia;Southern_Dravidian;76.5;10;mal;mym;mala1464
Nasioi;no;yes;Pacific;East_Bougainville;155.5833333;-6.333333333;nas;nas;naas1242
Toba;no;no;Americas;Guaicuruan;-59;-26.5;tob;tob;toba1269
Haida;yes;no;Americas;Haida;-132;53;hdn;hai;haid1248
Amarakaeri;no;no;Americas;Harakmbet;-70.5;-12.5;amr;amk;amar1274
Hmong Daw;yes;no;Asia;Hmong_Mien;105;26;mww;hmd;hmon1333
Chimariko;no;no;Americas;Chimariko;-123;41;cid;chi;chim1301
Maricopa;no;yes;Americas;Yuman;-113.1666667;33.16666667;mrc;mar;mari1440
Shasta;no;yes;Americas;Shasta;-122.6666667;41.83333333;sht;shs;shas1239
Bora;no;yes;Americas;Boran;-72.33333333;-2.166666667;boa;bor;bora1263
Ocaina;no;yes;Americas;Huitoto;-71.75;-2.75;oca;oca;ocai1244
Albanian;no;yes;Europe;Albanian;20;41;aln;alb;gheg1238
Armenian (Eastern);no;yes;Asia;Armenian;45;40;hye;arm;nucl1235
Armenian (Iranian);yes;yes;Asia;Armenian;51.66666667;32.66666667;;arz;nucl1235
Assamese;yes;no;Asia;Indic;93;26;asm;ass;assa1263
Bengali;yes;no;Asia;Indic;90;24;ben;ben;beng1280
Bulgarian;no;yes;Europe;Slavic;25;42.5;bul;bul;bulg1262
English;no;yes;Americas;Germanic;0;52;eng;eng;stan1293
French;no;yes;Europe;Romance;2;48;fra;fre;stan1290
German;no;yes;Europe;Germanic;10;52;deu;ger;stan1295
Gilaki;yes;no;Asia;Iranian;50;37.33333333;glk;gil;gila1241
Hindi;no;yes;Asia;Indic;77;25;hin;hin;hind1269
Latvian;no;yes;Europe;Baltic;24;57;lav;lat;latv1249
Luri;yes;no;Asia;Iranian;48.5;33.5;lrc;lur;nort2645
Marathi;no;yes;Asia;Indic;76;19;mar;mhi;mara1378
Mazanderani;yes;no;Asia;Iranian;52;36.5;mzn;mzn;maza1291
Persian;yes;yes;Asia;Iranian;54;32;pes;prs;west2369
Romani (Sepecides);no;yes;Europe;Indic;27;38.25;;rse;
Russian;no;yes;Europe;Slavic;38;56;rus;rus;russ1263
Sinhala;no;yes;Asia;Indic;80.5;7;sin;snh;sinh1246
Tati (Southern);yes;no;Asia;Iranian;49.66666667;36;tks;tts;take1255
Vafsi;yes;no;Asia;Iranian;49.91666667;34.66666667;vaf;vaf;vafs1240
Waigali;no;yes;Asia;Indic;71.25;35;wbk;wgl;waig1243
Seneca;no;no;Americas;Northern_Iroquoian;-77.5;42.5;see;snc;sene1264
Japanese;yes;no;Asia;Japanese;140;37;jpn;jpn;nucl1643
Jivaro;no;no;Americas;Jivaroan;-78;-2.5;jiv;jiv;shua1257
Kalapuya;no;no;Americas;Kalapuyan;-123;44.5;kyl;klp;kala1400
Karok;no;no;Americas;Karok;-123;41.66666667;kyh;krk;karo1304
Georgian;no;yes;Asia;Kartvelian;44;42;kat;geo;nucl1302
Acoma;no;yes;Americas;Keresan;-107.5833333;34.91666667;kjq;aco;west2632
/Xam;no;yes;Africa;Southern_Khoisan;21;-31;xam;xam;xamm1241
Ju|'hoan;no;yes;Africa;Northern_Khoisan;21;-19;ktz;juh;juho1239
Khoekhoe;no;yes;Africa;Central_Khoisan;18;-25.5;naq;kho;nama1264
Sandawe;no;yes;Africa;Sandawe;35;-5;sad;sdw;sand1273
Xoo;no;yes;Africa;Southern_Khoisan;21.5;-24;nmn;xoo;xooo1239
Kiowa;no;yes;Americas;Kiowa_Tanoan;-99;37;kio;kio;kiow1266
Kiwai;no;yes;Pacific;Kiwaian;143.5;-8;kiw;kiw;nort2930
Korean;yes;no;Asia;Korean;128;37.5;kor;kor;kore1280
Kutenai;no;no;Americas;Kutenai;-116;49.5;kut;kut;kute1249
Kwaza;no;no;Americas;Kwaza;-60.66666667;-12.58333333;xwa;kwz;kwaz1243
Yimas;no;no;Pacific;Lower_Sepik;143.55;-4.666666667;yee;yim;yima1243
Canela-Krah_;no;no;Americas;Ge_Kaingang;-46;-6;ram;ckr;cane1242
Maku;no;no;Americas;Maku;-69.83333333;0.416666667;;mkw;maku1246
Jakaltek;yes;no;Americas;Mayan;-91.66666667;15.66666667;jac;jak;popt1235
Tzeltal;yes;no;Americas;Mayan;-92.25;16.83333333;tzb;tze;tzel1253
Yucatec;yes;no;Americas;Mayan;-89;20;yua;yct;yuca1254
Miskito;no;no;Americas;Misumalpan;-83.66666667;14;miq;mis;misk1235
Moset_n;no;no;Americas;Mosetenan;-67.83333333;-14.75;cas;mos;mose1249
Piraha;no;no;Americas;Mura;-62;-7;myp;prh;pira1253
Choctaw;no;no;Americas;Muskogean;-88.5;32.25;cho;cct;choc1276
Carrier;no;yes;Americas;Athapaskan;-123.5;53.75;crx;crq;carr1249
Eyak;yes;no;Americas;Eyak;-145;60.5;eya;eya;eyak1241
Navajo;no;no;Americas;Athapaskan;-108;36.16666667;nav;nav;nava1243
Tlingit;no;yes;Americas;Tlingit;-135;59;tli;tli;tlin1245
Hup;no;no;Americas;Nadahup;-69.25;0.166666667;jup;hpd;hupd1244
Nahali;no;no;Asia;Nahali;77.83333333;19.75;nll;nah;niha1238
Avar;no;yes;Europe;Avar_Andic_Tsezic;46.5;42.5;ava;ava;avar1256
Bagvalal;no;yes;Europe;Avar_Andic_Tsezic;46.16666667;42.58333333;kva;bgv;bagv1239
Chechen;no;yes;Europe;Nakh;45.83333333;43.25;che;chc;chec1245
Dargwa;no;yes;Europe;Lak_Dargwa;47.41666667;42.25;dar;drg;darg1241
Hunzib;no;yes;Europe;Avar_Andic_Tsezic;46.25;42.16666667;huz;hzb;hunz1247
Ingush;no;yes;Europe;Nakh;45.08333333;43.16666667;inh;ing;ingu1240
Lezgian;no;yes;Europe;Lezgic;47.83333333;41.66666667;lez;lez;lezg1247
Boko;no;yes;Africa;Eastern_Mande;3.5;10.5;bqc;bok;boko1266
Dagaare;no;yes;Africa;Gur;-2.666666667;10.5;dga;dga;sout2789
Fula (Mauritanian);no;yes;Africa;Northern_Atlantic;-13.75;16.5;fuc;fma;pula1263
Gbeya Bossangoa;no;yes;Africa;Gbaya_Manza_Ngbaka;17.5;6.666666667;gbp;gbb;gbay1287
Igbo;no;yes;Africa;Igboid;7.333333333;6;ibo;igb;nucl1417
Kana;yes;no;Africa;Cross_River;7.416666667;4.75;ogo;kan;khan1278
Koromfe;no;yes;Africa;Gur;-0.916666667;14.25;kfz;kfe;koro1298
Kpelle;no;yes;Africa;Western_Mande;-10;7;xpe;kpe;libe1247
Lucazi;no;yes;Africa;Bantoid;20;-14;lch;luc;luch1239
Luganda;no;yes;Africa;Bantoid;32.16666667;0.5;lug;lda;gand1255
Mandinka;no;yes;Africa;Western_Mande;-15.66666667;13;mnk;mdk;mand1436
Mende;no;yes;Africa;Western_Mande;-11.5;7.833333333;men;mde;mend1266
Mituku;no;yes;Africa;Bantoid;25.5;-1.666666667;zmq;mit;mitu1240
Orig;no;yes;Africa;Rashad;30.83333333;12.16666667;ras;ori;tega1236
Runyoro-Rutooro;no;yes;Africa;Bantoid;31.33333333;1.5;nyo;rru;nyor1246
Sesotho;no;yes;Africa;Bantoid;27;-28;sot;ses;sout2807
Supyire;no;yes;Africa;Gur;-5.583333333;11.5;spp;sup;supy1237
Swahili;no;yes;Africa;Bantoid;39;-6.5;swh;swa;swah1253
Swati;no;yes;Africa;Bantoid;31;-26.5;ssw;swt;swat1243
Toussian (Win);yes;no;Africa;Gur;-4.666666667;10.83333333;wib;tow;sout2797
Tunen;no;yes;Africa;Bantoid;10.66666667;4.75;baz;tnn;tune1241
Yoruba;no;yes;Africa;Defoid;4.333333333;8;yor;yor;yoru1245
Zulu;no;yes;Africa;Bantoid;30;-30;zul;zul;zulu1248
Datooga;no;yes;Africa;Nilotic;35.33333333;-4.333333333;tcc;dat;dato1239
Fur;no;yes;Africa;Fur;25;13.5;fvr;fur;furr1244
Kanuri;no;no;Africa;Western_Saharan;13;12;knc;knr;cent2050
Koyra Chiini;no;no;Africa;Songhay;-3;17;khq;kch;koyr1240
Lango;no;no;Africa;Nilotic;33;2.166666667;laj;lan;lang1324
Lugbara;no;no;Africa;Moru_Madi;30.91666667;3.083333333;lgg;lug;lugb1240
Luo;no;no;Africa;Nilotic;34.75;-0.5;luo;luo;luok1236
Maasai;no;no;Africa;Nilotic;36;-3;mas;maa;masa1300
Me'en;no;no;Africa;Surmic;37;5;mym;mee;meen1242
Nara (in Ethiopia);no;no;Africa;Nara;37.58333333;15.08333333;nrb;nar;nara1262
Nubian (Dongolese);no;no;Africa;Nubian;30.75;18.25;kzh;nbd;kenu1236
So;no;no;Africa;Kuliak;34.75;2.583333333;teu;so;sooo1256
Nivkh;yes;no;Asia;Nivkh;142;53.33333333;niv;niv;gily1242
Nivkh (South Sakhalin);yes;no;Asia;Nivkh;142.5;47;niv;nvs;gily1242
Abkhaz;no;yes;Asia;Northwest_Caucasian;41;43.08333333;abk;abk;abkh1244
Coos (Hanis);no;no;Americas;Coosan;-124.1666667;43.5;csz;coo;coos1249
Siuslaw;no;no;Americas;Siuslawan;-124;44;sis;siu;sius1254
Ndyuka;no;no;Americas;Creoles_and_Pidgins;-54.5;4.5;djk;ndy;ndyu1242
Russian-Chinese Pidgin (Birobidjan);no;no;Asia;Creoles_and_Pidgins;132.95;48.8;;rcp;
Chichimeca-Jonaz;no;yes;Americas;Chichimec;-100.5;21.66666667;pei;cjo;chic1272
Mixtec (Chalcatongo);no;yes;Americas;Mixtecan;-97.58333333;17.05;mig;mxc;sanm1295
Capanahua;no;yes;Americas;Panoan;-74;-7;kaq;cap;capa1241
Shipibo-Konibo;no;yes;Americas;Panoan;-75;-7.5;shp;shk;ship1254
Yagua;yes;no;Americas;Peba_Yaguan;-72;-3.5;yad;yag;yagu1244
Chinook (Upper);no;no;Americas;Chinookan;-122.5;45.5;wac;cku;wasc1239
Klamath;no;no;Americas;Klamath_Modoc;-121.5;42.5;kla;klm;klam1254
Maidu (Northeast);no;no;Americas;Maiduan;-120.6666667;40;nmu;mne;nort2952
Miwok (Southern Sierra);no;no;Americas;Miwok;-120;37.5;skd;mss;sout2985
Molala;no;no;Americas;Molala;-122.5;44.5;mbe;mll;mola1238
Tsimshian (Coast);no;no;Americas;Tsimshianic;-129;52.5;tsi;tsi;nucl1649
Wintu;no;no;Americas;Wintuan;-122.5;41;wit;win;wint1259
Yawelmani;no;no;Americas;Yokuts;-119;35.41666667;yok;ywl;yoku1256
Quechua (Cuzco);no;yes;Americas;Quechuan;-71;-14.5;quz;qcu;cusc1236
Quechua (Huallaga);no;yes;Americas;Quechuan;-75.5;-9.5;qvh;qhu;huam1248
Quechua (Imbabura);no;yes;Americas;Quechuan;-78;0.333333333;qvi;qim;imba1240
Piaroa;no;no;Americas;Piaroa;-67;5;pid;pia;piar1243
Salinan;no;no;Americas;Salinan;-121;36;sln;sal;sali1253
Thompson;yes;no;Americas;Interior_Salish;-121.75;49.75;thp;tho;thom1243
Sentani;no;no;Asia;Sentani;140.5833333;-2.583333333;set;snt;nucl1632
Alamblak;no;no;Pacific;Sepik_Hill;143.3333333;-4.666666667;amp;ala;alam1246
Ambulas;no;no;Pacific;Middle_Sepik;143;-3.833333333;abt;amb;ambu1247
Awtuw;no;no;Pacific;Ram;142;-3.583333333;kmn;awt;awtu1239
Yessan-Mayo;no;no;Pacific;Tama_Sepik;142.5833333;-4.166666667;yss;yes;yess1239
Athpare;yes;no;Asia;Mahakiranti;87.33333333;27;aph;ath;athp1241
Baragaunle;no;no;Asia;Bodic;83.83333333;28.83333333;loy;brl;lowa1242
Belhare;yes;no;Asia;Mahakiranti;87.3;26.96666667;byw;bel;belh1239
