language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode;source
Seediq;no;no;Asia;Atayalic;121.4166667;24.16666667;trv;see;taro1264;Holmer-1996
Semelai;yes;no;Asia;Aslian;103;3;sza;sml;seme1247;Kruspe-1999
Seneca;no;no;Americas;Northern_Iroquoian;-77.5;42.5;see;snc;sene1264;Chafe-1996
Sentani;no;no;Asia;Sentani;140.5833333;-2.583333333;set;snt;nucl1632;Hartzler-1994
Sesotho;no;yes;Africa;Bantoid;27;-28;sot;ses;sout2807;Guma-1971
Shasta;no;yes;Americas;Shasta;-122.6666667;41.83333333;sht;shs;shas1239;Silver-1966
Shipibo-Konibo;no;yes;Americas;Panoan;-75;-7.5;shp;shk;ship1254;Valenzuela-et-al-2001
Simeulue;yes;no;Asia;Northwest_Sumatra_Barrier_Islands;96.25;2.5;smr;sim;sime1241;Abdullah-Faridan-et-al-1983
Sinhala;no;yes;Asia;Indic;80.5;7;sin;snh;sinh1246;Gair-1970
Siona;no;yes;Americas;Tucanoan;-76.25;0.333333333;snn;sin;sion1247;Wheeler-1970
Siuslaw;no;no;Americas;Siuslawan;-124;44;sis;siu;sius1254;Frachtenberg-1922b
So;no;no;Africa;Kuliak;34.75;2.583333333;teu;so;sooo1256;Carlin-1993
Suena;no;no;Pacific;Binanderean;147.55;-7.75;sue;sue;suen1241;Wilson-1974
Sulka;no;no;Pacific;Sulka;151.9166667;-5.083333333;sua;sul;sulk1246;Tharp-1996
Supyire;no;yes;Africa;Gur;-5.583333333;11.5;spp;sup;supy1237;Carlson-1994
Swahili;no;yes;Africa;Bantoid;39;-6.5;swh;swa;swah1253;Welmers-1973
Swati;no;yes;Africa;Bantoid;31;-26.5;ssw;swt;swat1243;Taljaard-et-al-1991
Taba;yes;no;Asia;South_Halmahera_West_New_Guinea;127.5;0;mky;tab;east2440;Bowden-1997a
Tagalog;no;yes;Asia;Greater_Central_Philippine;121;15;tgl;tag;taga1270;Schachter-and-Otanes-1983
Takelma;no;no;Americas;Takelma;-123;42.5;tkm;tkl;take1257;Sapir-1922b
Tatar;yes;no;Europe;Turkic;49.5;56;tat;tvo;tata1255;Poppe-1968
Tati (Southern);yes;no;Asia;Iranian;49.66666667;36;tks;tts;take1255;Yar-Shater-1969
Taulil;no;no;Pacific;Taulil;152.0833333;-4.416666667;tuh;tll;taul1251;Stebbins-2002
Tawala;no;no;Pacific;Oceanic;150.6666667;-10.33333333;tbo;taw;tawa1275;Ezard-1997
Tehit;yes;no;Asia;West_Birds_Head;132;-1.5;kps;tht;tehi1237;Reesink-1996
Telefol;no;no;Pacific;Ok;141.75;-5;tlf;tlf;tele1256;Healey-1965b
Temiar;no;no;Asia;Aslian;101.5;5;tea;tmr;temi1246;Benjamin-1976
Tepehuan (Southeastern);no;no;Americas;Tepiman;-104.5;23;stp;tps;sout2976;Willett-1991
Terena;no;no;Americas;Bolivia_Parana;-56;-20;ter;trn;tere1279;Derbyshire-1986
Teribe;yes;no;Americas;Talamanca;-82.66666667;9.333333333;tfr;trb;teri1250;Quesada-2000
Tetun;yes;no;Asia;Central_Malayo_Polynesian;126;-9;tet;ttn;tetu1245;van-Klinken-1999
Thai;yes;no;Asia;Kam_Tai;101;16;tha;tha;thai1261;Diller-1994
Thompson;yes;no;Americas;Interior_Salish;-121.75;49.75;thp;tho;thom1243;Thompson-and-Thompson-1992
Tidore;yes;no;Asia;North_Halmaheran;127.5;0.75;tvo;tid;tido1248;van-Staden-2000
Timugon;no;yes;Asia;North_Borneo;116;5;tih;tim;timu1262;Omar-1983
Tiwi;no;no;Pacific;Tiwian;131;-11.5;tiw;tiw;tiwi1244;Osborne-1974
Tlingit;no;yes;Americas;Tlingit;-135;59;tli;tli;tlin1245;Kinkade-2001
Toba;no;no;Americas;Guaicuruan;-59;-26.5;tob;tob;toba1269;van-der-Tuuk-1971
Tol;no;yes;Americas;Tol;-87;14.66666667;jic;tol;toll1241;Holt-1999a
Tolai;no;no;Pacific;Oceanic;152.0833333;-4.25;ksd;tla;kuan1248;Mosel-1980
Tongan;yes;no;Pacific;Oceanic;-175.1666667;-21.16666667;ton;tng;tong1325;Lynch-1998
Tonkawa;no;yes;Americas;Tonkawa;-96.75;30.25;tqw;ton;tonk1249;Hoijer-1946b
Toqabaqita;yes;no;Pacific;Oceanic;160.5833333;-8.416666667;mlu;toq;toab1237;lichtenberk_grammar_1983
Totonac (Papantla);yes;no;Americas;Totonacan;-97.33333333;20.33333333;top;tpa;papa1238;Suarez-1983b
Toussian (Win);yes;no;Africa;Gur;-4.666666667;10.83333333;wib;tow;sout2797;Prost-1964g
Tsimshian (Coast);no;no;Americas;Tsimshianic;-129;52.5;tsi;tsi;nucl1649;Boas-1911c
Tsou;yes;no;Asia;Tsou;120.75;23.5;tsu;tso;tsou1248;Tung-1964
Tuareg (Ghat);no;yes;Africa;Berber;10.16666667;25;thv;tgh;taha1241;Nehlil-1909
Tucano;no;yes;Americas;Tucanoan;-69.16666667;0.5;tuo;tuc;tuca1252;West-1980
Tukang Besi;yes;no;Asia;Celebic;123.5;-5.5;bhq;tuk;tuka1247;Donohue-1999a
Tunen;no;yes;Africa;Bantoid;10.66666667;4.75;baz;tnn;tune1241;Dugast-1971
Tunica;no;no;Americas;Tunica;-91;32.66666667;tun;tun;tuni1252;Haas-1940
Turkish;yes;yes;Asia;Turkic;35;39;tur;tur;nucl1301;Lewis-1967
Tuvaluan;no;no;Pacific;Oceanic;179.1666667;-8.5;tvl;tvl;tuva1244;Besnier-200
Tuvan;no;yes;Asia;Turkic;95;52;tyv;tuv;tuvi1240;Krueger-1977
Tuyuca;no;yes;Americas;Tucanoan;-70.08333333;0.5;tue;tuy;tuyu1244;Barnes-1990
Tzeltal;yes;no;Americas;Mayan;-92.25;16.83333333;tzb;tze;tzel1253;Suarez-1983b
Ulithian;yes;no;Pacific;Oceanic;139.5833333;9.916666667;uli;uli;ulit1238;Lynch-1998
Ungarinjin;no;no;Pacific;Wororan;126;-16.33333333;ung;ung;ngar1284;Rumsey-1982
Ura;no;no;Pacific;Oceanic;169.0833333;-18.66666667;uur;ura;urav1235;Crowley-1998c
Uradhi;no;no;Pacific;Pama_Nyungan;142.4166667;-11.91666667;urf;uhi;urad1239;Crowley-1983
Vafsi;yes;no;Asia;Iranian;49.91666667;34.66666667;vaf;vaf;vafs1240;Stilo-2004
Vietnamese;yes;no;Asia;Viet_Muong;106.5;10.5;vie;vie;viet1252;Thompson-1965
Waigali;no;yes;Asia;Indic;71.25;35;wbk;wgl;waig1243;Morgenstierne-1954
Waorani;no;no;Americas;Waorani;-76.5;-1;auc;wao;waor1240;Peeke-1994
Wappo;no;no;Americas;Wappo;-122.5;38.5;wao;wap;wapp1239;Radin-1929
Warekena;yes;no;Americas;Northern_Arawakan;-67.5;1.5;gae;wrk;guar1293;Aikhenvald-1998
Wari';no;no;Americas;Chapacura_Wanham;-65;-11.33333333;pav;war;wari1268;Everett-and-Kern-1997
Warndarang;no;no;Pacific;Maran;135.5833333;-14.41666667;wnd;wrn;wand1263;Heath-1980b
Washo;no;yes;Americas;Washo;-120;39.25;was;was;wash1253;Kroeber-1906
Waura;no;no;Americas;Central_Arawakan;-53;-13;wau;wur;waur1244;Derbyshire-and-Payne-1990
Wembawemba;no;no;Pacific;Pama_Nyungan;144;-35.33333333;;wem;;Hercus-1986b
Wintu;no;no;Americas;Wintuan;-122.5;41;wit;win;wint1259;Pitkin-1984
Worora;no;no;Pacific;Wororan;124.6666667;-15.66666667;unp;wor;woro1255;Love-2000
Xoo;no;yes;Africa;Southern_Khoisan;21.5;-24;nmn;xoo;xooo1239;Traill-1994
Yagua;yes;no;Americas;Peba_Yaguan;-72;-3.5;yad;yag;yagu1244;Payne-and-Payne-1990
Yami;no;no;Asia;Batanic;121.5;22;tao;ymi;yami1254;Yami-1990
Yapese;yes;no;Pacific;Yapese;138.1666667;9.583333333;yap;yap;yape1248;Jensen-et-al-1977a
Yawelmani;no;no;Americas;Yokuts;-119;35.41666667;yok;ywl;yoku1256;Newman-1946
Yessan-Mayo;no;no;Pacific;Tama_Sepik;142.5833333;-4.166666667;yss;yes;yess1239;Foreman-1974
Yidiny;no;no;Pacific;Pama_Nyungan;145.75;-17;yii;yid;yidi1250;Yidiny-1977
Yimas;no;no;Pacific;Lower_Sepik;143.55;-4.666666667;yee;yim;yima1243;Foley-1991
Yingkarta;no;no;Pacific;Pama_Nyungan;114.8333333;-25.16666667;yia;yng;ying1247;Dench-1998
Yoruba;no;yes;Africa;Defoid;4.333333333;8;yor;yor;yoru1245;Welmers-1973
Yucatec;yes;no;Americas;Mayan;-89;20;yua;yct;yuca1254;Suarez-1983b
Yuchi;no;no;Americas;Yuchi;-86.75;35.75;yuc;yuc;yuch1247;Wagner-1934
Yukaghir (Kolyma);no;yes;Asia;Yukaghir;150.8333333;65.75;yux;yko;sout2750;Maslova-1999
Yukulta;no;no;Pacific;Tangkic;138.8333333;-17.33333333;gcd;yuk;gang1267;Keen-1983
Zulu;no;yes;Africa;Bantoid;30;-30;zul;zul;zulu1248;Canonici-1995
Zuni;no;yes;Americas;Zuni;-108.8333333;35.08333333;zun;zun;zuni1245;Newman-1996
